director,count
Mohammad Adel,1
Derek Hui,1
Eric Abrams,1
Christian Alvart,1
Charles A. Nichols,1
Cassia Dian,1
Arthur Muhammad,1
Yasuhiro Irie,1
Adam Bolt,1
Marty Callner,1
John Edginton,1
Benjamin Ree,1
Munish Bhardwaj,1
James Duffy,1
Abhijit Kokate,1
Elite Zexer,1
Daniel Oriahi,1
Mfanelo Ngoma,1
Raymond Wood,1
Uttung Shelar,1
Eva Trobisch,1
Julien War,1
María Jose Cuevas,1
Michael Kampa,1
Richard Laxton,1
Partho Mitra,1
Toshiyuki Tsuru,1
Alina Teodorescu,1
Nancy Schwartzman,1
Eric Aghimien,1
Shaad Ali,1
Richard Donner,1
Brian McGinn,1
Aaron Woodley,1
Galley Molina,1
John Patrick Shanley,1
John Trengove,1
Michael Anderson,1
George Miller,1
Takashi Doscher,1
Benson Lee,1
Daniel Sánchez Arévalo,1
Alex Israel,1
Georges Hachem,1
Navneet Behal,1
Jeremy David White,1
Neil Rawles,1
Beeban Kidron,1
Shaul Schwarz,1
Andrew Nackman,1
Christopher S. Rech,1
Robert Markowitz,1
Marianna Palka,1
Nisheeta Keni,1
Harjit Singh,1
Peter Mimi,1
Fernando Villena,1
Ali Bin Matar,1
Sudabeh Mortezai,1
Greta Gerwig,1
Nina Wels,1
Howard Zieff,1
Vijay Roche,1
James Franco,1
Michael Radford,1
Conor Allyn,1
Ashish R. Mohan,1
Natalie Portman,1
Hussein El Ansary,1
Carey McKenzie,1
Michael Feifer,1
Ousmane Ly,1
Denis Do,1
Manav Shah,1
John Woo,1
Sam Cullman,1
Allen Coulter,1
Natasha Lyonne,1
Renny Harlin,1
Marcos Carnevale,1
Reuben Atlas,1
Rob W. King,1
Cho Li,1
Michael Cumming,1
Castille Landon,1
Kevin Booth,1
Jason Kwan,1
Chuang Shiang-an,1
Tanuj Chopra,1
Malik Vitthal,1
Sandeep Reddy Vanga,1
Luke Snellin,1
Zach Clark,1
Natalia Valdebenito,1
Fernando Frías De La Parra,1
Kamal Sahani,1
Jevons Au,1
Amalie Næsby Fick,1
Stephen Chbosky,1
Mike Rohl,1
Elliott Lester,1
Raj Kaushal,1
Anna Stone,1
Thomas Carter,1
Tomas Brickhill,1
Hani Al-Shaibani,1
Joris Ivens,1
Everardo Gout,1
Dado C. Lumibao,1
Robbie Grewal,1
Roman Polanski,1
Andreas Prochaska,1
Ivan Ayr,1
Peter Mortimer,1
Charles Uwagbai,1
Pieter-Jan De Pue,1
Olivier Megaton,1
David L.G. Hughes,1
Scott Hussion,1
Caroline Suh,1
Michelle Caputo,1
Matt Bell,1
Yoshitaka Takeuchi,1
Gabriel Grieco,1
Amir Mohiuddin,1
Billy Ray,1
Hugo Stuven,1
