country,Genre
Thailand,"Faith & Spirituality,Crime TV Shows,Documentaries,Sports Movies,Thrillers,International TV Shows,TV Horror,TV Comedies,Action & Adventure,TV Sci-Fi & Fantasy,Music & Musicals,TV Thrillers,Dramas,TV Dramas,Romantic TV Shows,International Movies,Romantic Movies,Horror Movies,Children & Family Movies,Docuseries,Teen TV Shows,TV Mysteries,LGBTQ Movies,Comedies,TV Action & Adventure"
Turkey,"Crime TV Shows,Sports Movies,Thrillers,International TV Shows,TV Horror,Independent Movies,TV Comedies,Action & Adventure,Music & Musicals,TV Thrillers,Dramas,TV Dramas,Romantic Movies,International Movies,Romantic TV Shows,Horror Movies,Children & Family Movies,Teen TV Shows,TV Mysteries,Comedies,TV Action & Adventure"
Uganda,Documentaries
Ukraine,"Crime TV Shows,Documentaries,International TV Shows,TV Comedies,TV Dramas,International Movies"
United Arab Emirates,"Documentaries,Sci-Fi & Fantasy,Sports Movies,Thrillers,International TV Shows,Independent Movies,Action & Adventure,Dramas,Romantic Movies,TV Dramas,International Movies,Horror Movies,Children & Family Movies,Comedies"
United Kingdom,"Crime TV Shows,Documentaries,Sci-Fi & Fantasy,Sports Movies,Classic & Cult TV,Independent Movies,TV Comedies,Music & Musicals,TV Thrillers,Stand-Up Comedy & Talk Shows,TV Dramas,Romantic Movies,Children & Family Movies,Cult Movies,Stand-Up Comedy,Comedies,Kids' TV,Movies,Faith & Spirituality,Science & Nature TV,British TV Shows,Thrillers,International TV Shows,TV Horror,Spanish-Language TV Shows,Classic Movies,TV Sci-Fi & Fantasy,Action & Adventure,Dramas,Romantic TV Shows,International Movies,Horror Movies,Reality TV,Docuseries,TV Mysteries,LGBTQ Movies,TV Action & Adventure"
United States,"Crime TV Shows,Documentaries,Sci-Fi & Fantasy,Sports Movies,Classic & Cult TV,Independent Movies,TV Comedies,Music & Musicals,TV Thrillers,Stand-Up Comedy & Talk Shows,TV Dramas,Romantic Movies,Children & Family Movies,Cult Movies,Stand-Up Comedy,Comedies,Kids' TV,Movies,Faith & Spirituality,Science & Nature TV,British TV Shows,TV Shows,Anime Series,Thrillers,International TV Shows,TV Horror,Spanish-Language TV Shows,Classic Movies,TV Sci-Fi & Fantasy,Action & Adventure,Korean TV Shows,Dramas,Anime Features,Romantic TV Shows,International Movies,Horror Movies,Reality TV,Docuseries,Teen TV Shows,TV Mysteries,LGBTQ Movies,TV Action & Adventure"
Uruguay,"Science & Nature TV,Documentaries,Sports Movies,International TV Shows,Docuseries,Independent Movies,Music & Musicals,Comedies,Dramas,International Movies"
Vatican City,"Faith & Spirituality,Documentaries,International Movies"
Venezuela,"Documentaries,International Movies"
Vietnam,"Horror Movies,Documentaries,Thrillers,Action & Adventure,Music & Musicals,Comedies,Dramas,International Movies"
West Germany,"Horror Movies,Children & Family Movies,Documentaries,Thrillers,International TV Shows,Classic Movies,TV Comedies,Comedies,TV Dramas,International Movies"
Zimbabwe,"Documentaries,Comedies,Romantic Movies,International Movies"
